"Strain","Location","Isolation.type","SNP.cluster","Min.same","AMR.genotypes","day","month","year","Isolation.source.category","region"
"Other","MN","environmental/other","PDS000036434.19",0,"Other",5,2,2016,"Produce and Food","Midwest"
"Other","USA","clinical","PDS000035403.14",11,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",22,11,2016,"Missing and Other","USA, General"
"Other","USA","clinical","PDS000035403.14",18,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",2,12,2016,"Missing and Other","USA, General"
"Other","USA","clinical","PDS000016146.17",0,"acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE",21,8,2016,"Missing and Other","USA, General"
"Other","USA","clinical","PDS000016146.17",0,"acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE",22,7,2016,"Missing and Other","USA, General"
"Other","USA","clinical","PDS000016146.17",0,"acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE",22,7,2016,"Missing and Other","USA, General"
"Other","USA","clinical","PDS000016146.17",0,"acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE",21,7,2016,"Missing and Other","USA, General"
"Other","USA","clinical","PDS000016146.17",0,"acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE",21,7,2016,"Missing and Other","USA, General"
"Other","CA","environmental/other","PDS000094320.2",6,"Other",3,11,2014,"Cattle","West"
"Other","CA","environmental/other","PDS000094320.2",10,"Other",3,11,2014,"Cattle","West"
"Other","CA","environmental/other","PDS000094320.2",6,"Other",3,11,2014,"Cattle","West"
"Other","CA","environmental/other","PDS000094320.2",6,"Other",3,11,2014,"Cattle","West"
"Other","CA","environmental/other","PDS000094320.2",5,"Other",3,11,2014,"Cattle","West"
"Other","CA","environmental/other","PDS000094320.2",4,"Other",3,11,2014,"Cattle","West"
"Other","CA","environmental/other","PDS000094320.2",0,"Other",6,5,2014,"Cattle","West"
"Other","CA","environmental/other","PDS000094320.2",0,"Other",10,2,2014,"Cattle","West"
"Other","CA","environmental/other","PDS000094320.2",11,"Other",3,11,2014,"Cattle","West"
"Other","CA","environmental/other","PDS000094320.2",4,"Other",3,11,2014,"Cattle","West"
"Other","CA","environmental/other","PDS000094320.2",5,"Other",10,2,2014,"Cattle","West"
"Other","CA","environmental/other","PDS000094320.2",8,"Other",3,11,2014,"Cattle","West"
"Other","CA","environmental/other","PDS000094320.2",0,"Other",3,11,2014,"Cattle","West"
"Other","AZ","environmental/other","PDS000094320.2",0,"Other",6,10,2014,"Cattle","West"
"Other","USA","clinical","PDS000012280.15",19,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",1,4,2016,"Missing and Other","USA, General"
"Other","USA","clinical","PDS000033543.7",14,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",21,10,2016,"Missing and Other","USA, General"
"Other","USA","clinical","PDS000033827.14",8,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",23,8,2016,"Human","USA, General"
"Other","WA","environmental/other","PDS000004906.11",4,"Other",4,3,2015,"Environment","West"
"Other","USA","clinical","PDS000061767.4",0,"Other",6,7,2016,"Missing and Other","USA, General"
"Other","CA",NA,"PDS000003298.23",NA,"Other",1,12,2013,"Missing and Other","West"
"Other","CA",NA,"PDS000003298.23",NA,"Other",1,6,2014,"Missing and Other","West"
"Other","CA",NA,"PDS000003298.23",NA,"Other",1,7,2014,"Missing and Other","West"
"Other","USA","clinical","PDS000033905.11",6,"Other",25,8,2015,"Human","USA, General"
"Other","USA","clinical","PDS000033905.11",7,"Other",15,11,2016,"Missing and Other","USA, General"
"Other","USA","clinical","PDS000033961.15",3,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",30,8,2016,"Human","USA, General"
"Other","TN","environmental/other","PDS000071931.10",20,"Other",3,5,2015,"Poultry","South"
NA,"AK",NA,"PDS000071931.10",NA,"Other",20,6,2016,"Animal(Other)","West"
"Other","TX","clinical","PDS000073337.14",9,"Other",11,7,2016,"Human","South"
"Other","OR","environmental/other","PDS000115971.1",6,"acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE",16,4,2015,"Produce and Food","West"
"Other","OR","environmental/other","PDS000115971.1",6,"acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE",16,4,2015,"Produce and Food","West"
"Other","DC","environmental/other","PDS000115447.1",NA,"Other",5,11,2014,"Poultry","South"
"Other","USA","clinical","PDS000006463.28",1,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",13,8,2015,"Missing and Other","USA, General"
"Other","USA",NA,"PDS000045737.23",NA,"Other",20,5,2016,"Missing and Other","USA, General"
"Other","USA","clinical","PDS000061614.4",25,"Other",18,11,2015,"Missing and Other","USA, General"
